,SMILES,PAMPA,Mol,num_hbd,TPSA,LogP
1523,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)CN(CC2CCCCC2)C(=O)[C@H](Cc2ccccc2)NC(=O)CN(CCCOC(C)C)C(=O)[C@H]2CCCN2C1=O,-5.77,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd897e0>,2,148.67,4.319200000000007
1524,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)CN(CC2CCOCC2)C(=O)[C@H](Cc2ccccc2)NC(=O)CN(CCCOC(C)C)C(=O)[C@H]2CCCN2C1=O,-5.03,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd89850>,2,157.9,3.1655000000000095
1525,CCCCCN1CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(Cc2ccc3c(c2)OCO3)CC(=O)N[C@@H](Cc2ccccc2)C1=O,-8.26,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd898c0>,2,157.9,4.042900000000007
1526,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)CN(CC2CCCCC2)C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2ccc3c(c2)OCO3)C(=O)[C@H]2CCCN2C1=O,-7.17,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd89930>,2,157.9,4.433000000000005
1527,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)CN(CC2CCOCC2)C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2ccc3c(c2)OCO3)C(=O)[C@H]2CCCN2C1=O,-5.48,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd899a0>,2,167.13,3.279300000000007
1528,CCCCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(CC)CC(=O)N[C@@H](C)C1=O,-5.99,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd89a10>,3,148.23,1.5689000000000055
1529,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)CN(CC2CCCCC2)C(=O)[C@H](C)NC(=O)CN(CC)C(=O)[C@H]2CCCN2C1=O,-5.58,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd89a80>,3,148.23000000000002,1.9590000000000052
1530,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)CN(CC2CCOCC2)C(=O)[C@H](C)NC(=O)CN(CC)C(=O)[C@H]2CCCN2C1=O,-7.39,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd89af0>,3,157.46,0.8053000000000075
1531,CCCCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(CCCOC(C)C)CC(=O)N[C@@H](C)C1=O,-5.26,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd89b60>,3,157.45999999999998,2.364100000000006
1532,CCCCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(CC)CC(=O)N[C@@H](Cc2ccccc2)C1=O,-4.81,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd89bd0>,3,148.23,2.7917000000000067
1533,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)CN(CC2CCCCC2)C(=O)[C@H](C)NC(=O)CN(CCCOC(C)C)C(=O)[C@H]2CCCN2C1=O,-5.02,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd89c40>,3,157.46,2.754200000000007
1534,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)CN(CC2CCOCC2)C(=O)[C@H](C)NC(=O)CN(CCCOC(C)C)C(=O)[C@H]2CCCN2C1=O,-6.75,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd89cb0>,3,166.69,1.6005000000000082
1535,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)CN(CC2CCCCC2)C(=O)[C@H](Cc2ccccc2)NC(=O)CN(CC)C(=O)[C@H]2CCCN2C1=O,-4.76,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd89d20>,3,148.23000000000002,3.1818000000000044
1536,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)CN(CC2CCOCC2)C(=O)[C@H](Cc2ccccc2)NC(=O)CN(CC)C(=O)[C@H]2CCCN2C1=O,-5.89,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd89d90>,3,157.46,2.0281000000000065
1537,CCCCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(Cc2ccc3c(c2)OCO3)CC(=O)N[C@@H](C)C1=O,-4.99,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd89e00>,3,166.69,2.4779000000000044
1538,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)CN(CC2CCCCC2)C(=O)[C@H](C)NC(=O)CN(Cc2ccc3c(c2)OCO3)C(=O)[C@H]2CCCN2C1=O,-4.9,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd89e70>,3,166.69,2.8680000000000048
1539,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)CN(CC2CCOCC2)C(=O)[C@H](C)NC(=O)CN(Cc2ccc3c(c2)OCO3)C(=O)[C@H]2CCCN2C1=O,-6.05,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd89ee0>,3,175.92,1.7143000000000066
1540,CCCCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(CCCOC(C)C)CC(=O)N[C@@H](Cc2ccccc2)C1=O,-4.81,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd89f50>,3,157.45999999999998,3.586900000000008
1541,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)CN(CC2CCCCC2)C(=O)[C@H](Cc2ccccc2)NC(=O)CN(CCCOC(C)C)C(=O)[C@H]2CCCN2C1=O,-4.97,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd89fc0>,3,157.46,3.9770000000000056
1542,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)CN(CC2CCOCC2)C(=O)[C@H](Cc2ccccc2)NC(=O)CN(CCCOC(C)C)C(=O)[C@H]2CCCN2C1=O,-5.34,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8a030>,3,166.69,2.8233000000000086
1543,CCCCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(Cc2ccc3c(c2)OCO3)CC(=O)N[C@@H](Cc2ccccc2)C1=O,-5.23,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8a0a0>,3,166.69,3.7007000000000057
1544,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)CN(CC2CCCCC2)C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2ccc3c(c2)OCO3)C(=O)[C@H]2CCCN2C1=O,-5.89,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8a110>,3,166.69,4.090800000000004
1545,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)CN(CC2CCOCC2)C(=O)[C@H](Cc2ccccc2)NC(=O)CN(Cc2ccc3c(c2)OCO3)C(=O)[C@H]2CCCN2C1=O,-5.06,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8a180>,3,175.92,2.9371000000000063
1546,CCCCCN1CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@H]2C(=O)N(CC)CC(=O)N[C@H](C)C1=O,-6.26,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8a1f0>,2,139.44,1.9111000000000054
1547,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)CN(CC2CCCCC2)C(=O)[C@@H](C)NC(=O)CN(CC)C(=O)[C@@H]2CCCN2C1=O,-5.75,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8a260>,2,139.44,2.301200000000005
1548,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)CN(CC2CCOCC2)C(=O)[C@@H](C)NC(=O)CN(CC)C(=O)[C@@H]2CCCN2C1=O,-7.68,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8a2d0>,2,148.67000000000002,1.147500000000008
1549,CCCCCN1CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@H]2C(=O)N(CCCOC(C)C)CC(=O)N[C@H](C)C1=O,-5.72,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8a340>,2,148.67,2.706300000000007
1550,CCCCCN1CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@H]2C(=O)N(CC)CC(=O)N[C@H](Cc2ccccc2)C1=O,-4.96,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8a3b0>,2,139.44,3.133900000000007
1551,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)CN(CC2CCCCC2)C(=O)[C@@H](C)NC(=O)CN(CCCOC(C)C)C(=O)[C@@H]2CCCN2C1=O,-5.3,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8a420>,2,148.67,3.0964000000000063
1552,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)CN(CC2CCOCC2)C(=O)[C@@H](C)NC(=O)CN(CCCOC(C)C)C(=O)[C@@H]2CCCN2C1=O,-7.42,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8a490>,2,157.9,1.9427000000000085
1553,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)CN(CC2CCCCC2)C(=O)[C@@H](Cc2ccccc2)NC(=O)CN(CC)C(=O)[C@@H]2CCCN2C1=O,-4.9,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8a500>,2,139.44,3.5240000000000054
1554,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)CN(CC2CCOCC2)C(=O)[C@@H](Cc2ccccc2)NC(=O)CN(CC)C(=O)[C@@H]2CCCN2C1=O,-6.22,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8a570>,2,148.67000000000002,2.3703000000000074
1555,CCCCCN1CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@H]2C(=O)N(Cc2ccc3c(c2)OCO3)CC(=O)N[C@H](C)C1=O,-5.33,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8a5e0>,2,157.9,2.8201000000000054
1556,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)CN(CC2CCCCC2)C(=O)[C@@H](C)NC(=O)CN(Cc2ccc3c(c2)OCO3)C(=O)[C@@H]2CCCN2C1=O,-5.1,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8a650>,2,157.9,3.210200000000005
1557,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)CN(CC2CCOCC2)C(=O)[C@@H](C)NC(=O)CN(Cc2ccc3c(c2)OCO3)C(=O)[C@@H]2CCCN2C1=O,-6.64,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8a6c0>,2,167.13,2.056500000000007
1558,CCCCCN1CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@H]2C(=O)N(CCCOC(C)C)CC(=O)N[C@H](Cc2ccccc2)C1=O,-4.86,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8a730>,2,148.67,3.929100000000009
1559,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)CN(CC2CCCCC2)C(=O)[C@@H](Cc2ccccc2)NC(=O)CN(CCCOC(C)C)C(=O)[C@@H]2CCCN2C1=O,-5.01,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8a7a0>,2,148.67,4.319200000000007
1560,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)CN(CC2CCOCC2)C(=O)[C@@H](Cc2ccccc2)NC(=O)CN(CCCOC(C)C)C(=O)[C@@H]2CCCN2C1=O,-5.81,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8a810>,2,157.9,3.1655000000000095
1561,CCCCCN1CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@H]2C(=O)N(Cc2ccc3c(c2)OCO3)CC(=O)N[C@H](Cc2ccccc2)C1=O,-5.43,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8a880>,2,157.9,4.042900000000007
1562,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)CN(CC2CCCCC2)C(=O)[C@@H](Cc2ccccc2)NC(=O)CN(Cc2ccc3c(c2)OCO3)C(=O)[C@@H]2CCCN2C1=O,-5.94,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8a8f0>,2,157.9,4.433000000000005
1563,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)CN(CC2CCOCC2)C(=O)[C@@H](Cc2ccccc2)NC(=O)CN(Cc2ccc3c(c2)OCO3)C(=O)[C@@H]2CCCN2C1=O,-5.43,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8a960>,2,167.13,3.279300000000007
1564,CCCCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@H]2C(=O)N(CC)CC(=O)N[C@H](C)C1=O,-6.71,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8a9d0>,3,148.23,1.5689000000000055
1565,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)CN(CC2CCCCC2)C(=O)[C@@H](C)NC(=O)CN(CC)C(=O)[C@@H]2CCCN2C1=O,-6.34,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8aa40>,3,148.23000000000002,1.9590000000000052
1566,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)CN(CC2CCOCC2)C(=O)[C@@H](C)NC(=O)CN(CC)C(=O)[C@@H]2CCCN2C1=O,-8.0,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8aab0>,3,157.46,0.8053000000000075
1567,CCCCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@H]2C(=O)N(CCCOC(C)C)CC(=O)N[C@H](C)C1=O,-6.18,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8ab20>,3,157.45999999999998,2.364100000000006
1568,CCCCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@H]2C(=O)N(CC)CC(=O)N[C@H](Cc2ccccc2)C1=O,-5.23,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8ab90>,3,148.23,2.7917000000000067
1569,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)CN(CC2CCCCC2)C(=O)[C@@H](C)NC(=O)CN(CCCOC(C)C)C(=O)[C@@H]2CCCN2C1=O,-5.81,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8ac00>,3,157.46,2.754200000000007
1570,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)CN(CC2CCOCC2)C(=O)[C@@H](C)NC(=O)CN(CCCOC(C)C)C(=O)[C@@H]2CCCN2C1=O,-7.5,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8ac70>,3,166.69,1.6005000000000082
1571,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)CN(CC2CCCCC2)C(=O)[C@@H](Cc2ccccc2)NC(=O)CN(CC)C(=O)[C@@H]2CCCN2C1=O,-5.04,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8ace0>,3,148.23000000000002,3.1818000000000044
1572,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)CN(CC2CCOCC2)C(=O)[C@@H](Cc2ccccc2)NC(=O)CN(CC)C(=O)[C@@H]2CCCN2C1=O,-6.95,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8ad50>,3,157.46,2.0281000000000065
1573,CCCCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@H]2C(=O)N(Cc2ccc3c(c2)OCO3)CC(=O)N[C@H](C)C1=O,-5.68,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8adc0>,3,166.69,2.4779000000000044
1574,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)CN(CC2CCCCC2)C(=O)[C@@H](C)NC(=O)CN(Cc2ccc3c(c2)OCO3)C(=O)[C@@H]2CCCN2C1=O,-5.42,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8ae30>,3,166.69,2.8680000000000048
1575,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)CN(CC2CCOCC2)C(=O)[C@@H](C)NC(=O)CN(Cc2ccc3c(c2)OCO3)C(=O)[C@@H]2CCCN2C1=O,-6.64,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8aea0>,3,175.92,1.7143000000000066
1576,CCCCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@H]2C(=O)N(CCCOC(C)C)CC(=O)N[C@H](Cc2ccccc2)C1=O,-4.93,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8af10>,3,157.45999999999998,3.586900000000008
1577,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)CN(CC2CCCCC2)C(=O)[C@@H](Cc2ccccc2)NC(=O)CN(CCCOC(C)C)C(=O)[C@@H]2CCCN2C1=O,-4.87,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8af80>,3,157.46,3.9770000000000056
1578,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)CN(CC2CCOCC2)C(=O)[C@@H](Cc2ccccc2)NC(=O)CN(CCCOC(C)C)C(=O)[C@@H]2CCCN2C1=O,-6.56,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8aff0>,3,166.69,2.8233000000000086
1579,CCCCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@H]2C(=O)N(Cc2ccc3c(c2)OCO3)CC(=O)N[C@H](Cc2ccccc2)C1=O,-5.12,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8b060>,3,166.69,3.7007000000000057
1580,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)CN(CC2CCCCC2)C(=O)[C@@H](Cc2ccccc2)NC(=O)CN(Cc2ccc3c(c2)OCO3)C(=O)[C@@H]2CCCN2C1=O,-5.33,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8b0d0>,3,166.69,4.090800000000004
1581,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)CN(CC2CCOCC2)C(=O)[C@@H](Cc2ccccc2)NC(=O)CN(Cc2ccc3c(c2)OCO3)C(=O)[C@@H]2CCCN2C1=O,-6.0,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8b140>,3,175.92,2.9371000000000063
1582,CCCCCN1CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(CC)CC(=O)N[C@H](C)C1=O,-5.99,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8b1b0>,2,139.44,1.9111000000000054
1583,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)CN(CC2CCCCC2)C(=O)[C@@H](C)NC(=O)CN(CC)C(=O)[C@H]2CCCN2C1=O,-5.57,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8b220>,2,139.44,2.301200000000005
1584,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)CN(CC2CCOCC2)C(=O)[C@@H](C)NC(=O)CN(CC)C(=O)[C@H]2CCCN2C1=O,-7.19,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8b290>,2,148.67000000000002,1.147500000000008
1585,CCCCCN1CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(CCCOC(C)C)CC(=O)N[C@H](C)C1=O,-5.38,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8b300>,2,148.67,2.706300000000007
1586,CCCCCN1CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(CC)CC(=O)N[C@H](Cc2ccccc2)C1=O,-5.01,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8b370>,2,139.44,3.133900000000007
1587,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)CN(CC2CCCCC2)C(=O)[C@@H](C)NC(=O)CN(CCCOC(C)C)C(=O)[C@H]2CCCN2C1=O,-5.09,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8b3e0>,2,148.67,3.0964000000000063
1588,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)CN(CC2CCOCC2)C(=O)[C@@H](C)NC(=O)CN(CCCOC(C)C)C(=O)[C@H]2CCCN2C1=O,-6.66,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8b450>,2,157.9,1.9427000000000085
1589,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)CN(CC2CCCCC2)C(=O)[C@@H](Cc2ccccc2)NC(=O)CN(CC)C(=O)[C@H]2CCCN2C1=O,-5.08,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8b4c0>,2,139.44,3.5240000000000054
1590,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)CN(CC2CCOCC2)C(=O)[C@@H](Cc2ccccc2)NC(=O)CN(CC)C(=O)[C@H]2CCCN2C1=O,-5.7,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8b530>,2,148.67000000000002,2.3703000000000074
1591,CCCCCN1CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(Cc2ccc3c(c2)OCO3)CC(=O)N[C@H](C)C1=O,-5.1,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8b5a0>,2,157.9,2.8201000000000054
1592,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)CN(CC2CCCCC2)C(=O)[C@@H](C)NC(=O)CN(Cc2ccc3c(c2)OCO3)C(=O)[C@H]2CCCN2C1=O,-5.13,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8b610>,2,157.9,3.210200000000005
1593,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)CN(CC2CCOCC2)C(=O)[C@@H](C)NC(=O)CN(Cc2ccc3c(c2)OCO3)C(=O)[C@H]2CCCN2C1=O,-6.05,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8b680>,2,167.13,2.056500000000007
1594,CCCCCN1CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(CCCOC(C)C)CC(=O)N[C@H](Cc2ccccc2)C1=O,-5.21,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8b6f0>,2,148.67,3.929100000000009
1595,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)CN(CC2CCCCC2)C(=O)[C@@H](Cc2ccccc2)NC(=O)CN(CCCOC(C)C)C(=O)[C@H]2CCCN2C1=O,-5.48,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8b760>,2,148.67,4.319200000000007
1596,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)CN(CC2CCOCC2)C(=O)[C@@H](Cc2ccccc2)NC(=O)CN(CCCOC(C)C)C(=O)[C@H]2CCCN2C1=O,-5.26,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8b7d0>,2,157.9,3.1655000000000095
1597,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)CN(CC2CCCCC2)C(=O)[C@@H](Cc2ccccc2)NC(=O)CN(Cc2ccc3c(c2)OCO3)C(=O)[C@H]2CCCN2C1=O,-6.88,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8b840>,2,157.9,4.433000000000005
1598,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)N(C)C(=O)CN(CC2CCOCC2)C(=O)[C@@H](Cc2ccccc2)NC(=O)CN(Cc2ccc3c(c2)OCO3)C(=O)[C@H]2CCCN2C1=O,-5.29,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8b8b0>,2,167.13,3.279300000000007
1599,CCCCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(CC)CC(=O)N[C@H](C)C1=O,-6.36,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8b920>,3,148.23,1.5689000000000055
1600,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)CN(CC2CCCCC2)C(=O)[C@@H](C)NC(=O)CN(CC)C(=O)[C@H]2CCCN2C1=O,-6.0,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8b990>,3,148.23000000000002,1.9590000000000052
1601,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)CN(CC2CCOCC2)C(=O)[C@@H](C)NC(=O)CN(CC)C(=O)[C@H]2CCCN2C1=O,-7.14,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8ba00>,3,157.46,0.8053000000000075
1602,CCCCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(CCCOC(C)C)CC(=O)N[C@H](C)C1=O,-5.81,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8ba70>,3,157.45999999999998,2.364100000000006
1603,CCCCCN1CC(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CCCC)C(=O)N2CCC[C@@H]2C(=O)N(CC)CC(=O)N[C@H](Cc2ccccc2)C1=O,-5.22,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8bae0>,3,148.23,2.7917000000000067
1604,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)CN(CC2CCCCC2)C(=O)[C@@H](C)NC(=O)CN(CCCOC(C)C)C(=O)[C@H]2CCCN2C1=O,-5.44,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8bb50>,3,157.46,2.754200000000007
1605,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)CN(CC2CCOCC2)C(=O)[C@@H](C)NC(=O)CN(CCCOC(C)C)C(=O)[C@H]2CCCN2C1=O,-6.6,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8bbc0>,3,166.69,1.6005000000000082
1606,CCCC[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)CN(CC2CCCCC2)C(=O)[C@@H](Cc2ccccc2)NC(=O)CN(CC)C(=O)[C@H]2CCCN2C1=O,-5.03,<rdkit.Chem.rdchem.Mol object at 0x7f8c1fd8bc30>,3,148.23000000000002,3.1818000000000044
